sku_id,sku_name,sku_price,sku_description
SKU-6LSA529J,Dishwasher - Built-in Stainless Steel,1407.24,"Energy-efficient built-in stainless steel dishwasher with multiple wash cycles and quiet operation. Key features include: easy to clean and maintain, advanced technology for better efficiency, smart connectivity options."
SKU-3IT906P8,Hammer - 16oz Steel Claw,99,"Durable 16oz steel claw hammer with a comfortable grip, perfect for general carpentry tasks. Key features include: premium build quality, sleek modern finish, energy star certified."
SKU-S97PENI9,Air Conditioner - 1.5 Ton Split AC,3649,"High-performance 1.5 ton split air conditioner with fast cooling and energy-saving features. Key features include: smart connectivity options, easy to clean and maintain, enhanced safety features."
SKU-GFYB69MH,Power Drill - Cordless 20V Lithium-Ion,49.94,"Cordless 20V lithium-ion power drill with variable speed control and rechargeable battery. Key features include: 5-year limited warranty, premium build quality, easy to clean and maintain."
SKU-JXIZ80B3,Ceiling Fan - 52-inch with Remote,198.44,"Elegant 52-inch ceiling fan with remote control, multiple speed settings, and reversible motor. Key features include: advanced technology for better efficiency, premium build quality, suitable for home and professional use."
SKU-QRY4PYU5,Lawn Mower - Gas Powered 21-inch,699,"Lawn Mower - Gas Powered 21-inch - High quality product designed for durability and customer satisfaction. Key features include: advanced technology for better efficiency, 5-year limited warranty, sleek modern finish."
SKU-JAZ91ZWW,Circular Saw - 7-1/4 inch 15 Amp,199.99,"Circular Saw - 7-1/4 inch 15 Amp - High quality product designed for durability and customer satisfaction. Key features include: easy to clean and maintain, advanced technology for better efficiency, sleek modern finish."
SKU-P6461NX1,Refrigerator - 18 cu ft Top Freezer,588.99,"Refrigerator - 18 cu ft Top Freezer - High quality product designed for durability and customer satisfaction. Key features include: enhanced safety features, sleek modern finish, smart connectivity options."
SKU-6LSA529J-R1,Dishwasher - Energy Star Quiet 48 dBA,1548.91,"Dishwasher - Energy Star Quiet 48 dBA - High quality product designed for durability and customer satisfaction. Key features include: 5-year limited warranty, ergonomic design for easy use, lightweight and portable."
SKU-6LSA529J-R2,Dishwasher - Stainless Steel Top Control,1372.24,"Dishwasher - Stainless Steel Top Control - High quality product designed for durability and customer satisfaction. Key features include: advanced technology for better efficiency, premium build quality, easy to clean and maintain."
SKU-6LSA529J-R3,Dishwasher - Smart WiFi Enabled Model,1402.85,"Dishwasher - Smart WiFi Enabled Model - High quality product designed for durability and customer satisfaction. Key features include: smart connectivity options, advanced technology for better efficiency, ergonomic design for easy use."
SKU-3IT906P8-R1,Hammer - Fiberglass Handle 20oz,92.27,"Hammer - Fiberglass Handle 20oz - High quality product designed for durability and customer satisfaction. Key features include: smart connectivity options, 5-year limited warranty, enhanced safety features."
